#Dataset: Global monthly mean temperatures
#Reference: NA
#Project: CMIP6
#Experiment: historical
#Model: ACCESS-CM2_r4i1p1f1
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: global
#Area: land and sea
#Spatial_resolution: as per source model
#Interpolation_method: weighted mean, weights areacella
#Creation_Date: 2023-09-29 05:22 UTC
date,world
1850-01,11.70874
1850-02,12.314056
1850-03,12.847809
1850-04,13.766998
1850-05,14.594147
1850-06,15.429718
1850-07,15.734528
1850-08,15.617615
1850-09,15.040741
1850-10,14.142426
1850-11,13.145172
1850-12,12.562317
1851-01,12.148834
1851-02,12.4279175
1851-03,13.188873
1851-04,13.961151
1851-05,14.703064
1851-06,15.40155
1851-07,15.917114
1851-08,15.763672
1851-09,15.0065
1851-10,14.171814
1851-11,12.970337
1851-12,12.22052
1852-01,12.021942
1852-02,12.2621765
1852-03,12.902039
1852-04,13.867126
1852-05,14.698517
1852-06,15.458954
1852-07,15.827637
1852-08,15.719299
1852-09,15.050751
1852-10,14.199554
1852-11,13.301483
1852-12,12.435089
1853-01,12.248535
1853-02,12.531708
1853-03,13.192047
1853-04,14.04599
1853-05,14.857117
1853-06,15.417816
1853-07,15.669586
1853-08,15.536346
1853-09,14.813812
1853-10,13.920502
1853-11,12.993347
1853-12,12.308411
1854-01,11.89035
1854-02,12.193085
1854-03,12.658844
1854-04,13.604706
1854-05,14.460541
1854-06,15.170441
1854-07,15.728851
1854-08,15.605225
1854-09,14.972595
1854-10,14.17099
1854-11,13.084808
1854-12,12.454651
1855-01,12.106903
1855-02,12.398376
1855-03,13.156799
1855-04,13.9774475
1855-05,14.794067
1855-06,15.309082
1855-07,15.806824
1855-08,15.70462
1855-09,15.120453
1855-10,14.2951355
1855-11,13.073883
1855-12,12.352814
1856-01,12.036591
1856-02,12.237183
1856-03,12.929993
1856-04,13.817566
1856-05,14.591736
1856-06,15.37912
1856-07,15.754852
1856-08,15.60022
1856-09,15.012604
1856-10,14.057892
1856-11,13.046234
1856-12,12.130157
1857-01,11.986237
1857-02,12.204956
1857-03,12.715942
1857-04,13.896881
1857-05,14.560944
1857-06,15.321259
1857-07,15.704315
1857-08,15.506012
1857-09,14.96283
1857-10,14.050079
1857-11,12.991516
1857-12,11.962524
1858-01,11.753174
1858-02,12.116943
1858-03,13.049988
1858-04,13.830994
1858-05,14.624939
1858-06,15.289154
1858-07,15.706421
1858-08,15.440002
1858-09,14.800446
1858-10,13.782288
1858-11,12.778442
1858-12,12.000977
1859-01,11.805725
1859-02,12.064941
1859-03,12.757843
1859-04,13.71463
1859-05,14.484741
1859-06,15.301117
1859-07,15.619476
1859-08,15.578827
1859-09,15.033051
1859-10,14.089813
1859-11,13.097961
1859-12,12.334015
1860-01,12.19635
1860-02,12.476105
1860-03,13.01004
1860-04,13.898285
1860-05,14.670898
1860-06,15.41748
1860-07,15.6979065
1860-08,15.722046
1860-09,15.001862
1860-10,14.073151
1860-11,13.028992
1860-12,12.275238
1861-01,12.005157
1861-02,12.339325
1861-03,12.829437
1861-04,13.70517
1861-05,14.682495
1861-06,15.391388
1861-07,15.778168
1861-08,15.5937195
1861-09,14.877838
1861-10,13.970795
1861-11,12.951416
1861-12,12.104187
1862-01,11.861664
1862-02,12.034485
1862-03,12.590332
1862-04,13.497894
1862-05,14.425842
1862-06,15.295227
1862-07,15.607269
1862-08,15.47403
1862-09,14.838989
1862-10,13.913605
1862-11,12.75415
1862-12,12.204071
1863-01,11.805969
1863-02,11.930023
1863-03,12.781982
1863-04,13.77417
1863-05,14.481018
1863-06,15.176117
1863-07,15.488678
1863-08,15.437286
1863-09,14.862549
1863-10,13.844788
1863-11,12.85257
1863-12,12.150604
1864-01,11.802368
1864-02,12.223602
1864-03,12.818176
1864-04,13.6936035
1864-05,14.602753
1864-06,15.209656
1864-07,15.79953
1864-08,15.801819
1864-09,15.078552
1864-10,14.050201
1864-11,13.064209
1864-12,12.363251
1865-01,12.155548
1865-02,12.291779
1865-03,12.802246
1865-04,13.904205
1865-05,14.651184
1865-06,15.453217
1865-07,15.7247925
1865-08,15.587677
1865-09,14.981567
1865-10,14.112061
1865-11,12.912689
1865-12,12.071411
1866-01,11.974976
1866-02,12.282288
1866-03,12.747009
1866-04,13.71463
1866-05,14.574097
1866-06,15.408203
1866-07,15.739716
1866-08,15.699005
1866-09,14.960419
1866-10,14.123322
1866-11,13.0494995
1866-12,12.279114
1867-01,11.878998
1867-02,12.204956
1867-03,12.969391
1867-04,13.968933
1867-05,14.801025
1867-06,15.566864
1867-07,15.72995
1867-08,15.675995
1867-09,14.86087
1867-10,14.041443
1867-11,13.056152
1867-12,12.33017
1868-01,11.816376
1868-02,12.15863
1868-03,12.8480835
1868-04,13.8811035
1868-05,14.607422
1868-06,15.335632
1868-07,15.821625
1868-08,15.67215
1868-09,15.088654
1868-10,14.26947
1868-11,13.214264
1868-12,12.483612
1869-01,12.369324
1869-02,12.614075
1869-03,13.325562
1869-04,14.148346
1869-05,14.9133
1869-06,15.629822
1869-07,16.015656
1869-08,15.735535
1869-09,14.974915
1869-10,13.960144
1869-11,12.889893
1869-12,12.155609
1870-01,11.925568
1870-02,11.979645
1870-03,12.74762
1870-04,13.702332
1870-05,14.486877
1870-06,15.253662
1870-07,15.705719
1870-08,15.594849
1870-09,15.000793
1870-10,14.110504
1870-11,13.045715
1870-12,12.046082
1871-01,12.013184
1871-02,12.306488
1871-03,12.984009
1871-04,13.8797
1871-05,14.793549
1871-06,15.637207
1871-07,15.964081
1871-08,15.76947
1871-09,15.2248535
1871-10,14.378387
1871-11,13.383057
1871-12,12.545013
1872-01,12.211517
1872-02,12.365021
1872-03,12.968109
1872-04,14.102509
1872-05,14.781738
1872-06,15.626709
1872-07,15.92749
1872-08,15.777344
1872-09,15.096558
1872-10,14.085205
1872-11,12.980194
1872-12,12.212372
1873-01,12.082062
1873-02,12.3914795
1873-03,12.917145
1873-04,13.93158
1873-05,14.731384
1873-06,15.510376
1873-07,15.924713
1873-08,15.800171
1873-09,15.094147
1873-10,14.186462
1873-11,13.026581
1873-12,12.534943
1874-01,12.054291
1874-02,12.528137
1874-03,13.336517
1874-04,14.087585
1874-05,14.875916
1874-06,15.601196
1874-07,15.958527
1874-08,15.786377
1874-09,15.040863
1874-10,14.21405
1874-11,13.028992
1874-12,12.402466
1875-01,11.887817
1875-02,12.131836
1875-03,12.764862
1875-04,13.898376
1875-05,14.649017
1875-06,15.305725
1875-07,15.79599
1875-08,15.706879
1875-09,15.012238
1875-10,14.078613
1875-11,13.085327
1875-12,12.288605
1876-01,12.037201
1876-02,12.32135
1876-03,13.146454
1876-04,14.027313
1876-05,14.859009
1876-06,15.439545
1876-07,15.831146
1876-08,15.61264
1876-09,15.011993
1876-10,14.1788025
1876-11,13.173187
1876-12,12.502258
1877-01,11.996948
1877-02,12.460175
1877-03,13.150299
1877-04,14.057251
1877-05,14.901581
1877-06,15.464539
1877-07,15.730316
1877-08,15.736816
1877-09,14.988586
1877-10,14.065674
1877-11,13.188385
1877-12,12.290985
1878-01,11.999542
1878-02,12.365204
1878-03,13.004364
1878-04,13.903717
1878-05,14.6796875
1878-06,15.403656
1878-07,15.8107605
1878-08,15.653046
1878-09,15.011963
1878-10,14.134064
1878-11,13.178253
1878-12,12.436707
1879-01,12.352356
1879-02,12.624451
1879-03,13.289825
1879-04,14.097626
1879-05,14.917297
1879-06,15.638702
1879-07,15.934418
1879-08,15.803864
1879-09,15.138947
1879-10,14.085327
1879-11,13.238831
1879-12,12.462891
1880-01,12.237915
1880-02,12.4722595
1880-03,13.245697
1880-04,14.083984
1880-05,14.980743
1880-06,15.45929
1880-07,15.797974
1880-08,15.782471
1880-09,15.092041
1880-10,14.066284
1880-11,13.007874
1880-12,12.252869
1881-01,12.18689
1881-02,12.410675
1881-03,12.981293
1881-04,13.974518
1881-05,15.010284
1881-06,15.757874
1881-07,15.878632
1881-08,15.785553
1881-09,15.117676
1881-10,14.267456
1881-11,13.393555
1881-12,12.569397
1882-01,12.361389
1882-02,12.6651
1882-03,13.197662
1882-04,14.162201
1882-05,14.995056
1882-06,15.579926
1882-07,15.765808
1882-08,15.681488
1882-09,15.098206
1882-10,14.321228
1882-11,13.214783
1882-12,12.623718
1883-01,12.342407
1883-02,12.523651
1883-03,13.084045
1883-04,14.019684
1883-05,14.801147
1883-06,15.506226
1883-07,15.927368
1883-08,15.972473
1883-09,15.114288
1883-10,14.2256775
1883-11,13.243042
1883-12,12.416351
1884-01,11.983276
1884-02,12.506561
1884-03,13.141205
1884-04,13.961914
1884-05,14.72583
1884-06,15.311035
1884-07,15.7039795
1884-08,15.518494
1884-09,14.820068
1884-10,13.885284
1884-11,13.006958
1884-12,12.165375
1885-01,11.879303
1885-02,12.192749
1885-03,12.835205
1885-04,13.541595
1885-05,14.550049
1885-06,15.120026
1885-07,15.551666
1885-08,15.629761
1885-09,14.841064
1885-10,14.000885
1885-11,13.049438
1885-12,12.013367
1886-01,11.738464
1886-02,12.037109
1886-03,12.760773
1886-04,13.690063
1886-05,14.605286
1886-06,15.284149
1886-07,15.678772
1886-08,15.681488
1886-09,15.024048
1886-10,14.099518
1886-11,13.140381
1886-12,12.460449
1887-01,12.180206
1887-02,12.261261
1887-03,13.033539
1887-04,13.889282
1887-05,14.77417
1887-06,15.414001
1887-07,15.797424
1887-08,15.709991
1887-09,15.18811
1887-10,14.291962
1887-11,13.208832
1887-12,12.354431
1888-01,12.104279
1888-02,12.373871
1888-03,13.191498
1888-04,14.029846
1888-05,14.802734
1888-06,15.494415
1888-07,15.899078
1888-08,15.808868
1888-09,15.120789
1888-10,14.22879
1888-11,13.119141
1888-12,12.566528
1889-01,12.395233
1889-02,12.696228
1889-03,13.166168
1889-04,14.098999
1889-05,14.88623
1889-06,15.532043
1889-07,15.879242
1889-08,15.815033
1889-09,15.026428
1889-10,14.262604
1889-11,13.128876
1889-12,12.413849
1890-01,12.236267
1890-02,12.414459
1890-03,13.196259
1890-04,13.954987
1890-05,14.807709
1890-06,15.434113
1890-07,15.917999
1890-08,15.914703
1890-09,15.1936035
1890-10,14.369293
1890-11,13.296692
1890-12,12.600739
1891-01,12.254028
1891-02,12.663116
1891-03,13.3576355
1891-04,14.119354
1891-05,14.783386
1891-06,15.435303
1891-07,15.880951
1891-08,15.604584
1891-09,14.998352
1891-10,14.037415
1891-11,13.173126
1891-12,12.174591
1892-01,11.907898
1892-02,12.284943
1892-03,13.010559
1892-04,13.828796
1892-05,14.535767
1892-06,15.353455
1892-07,15.766785
1892-08,15.685883
1892-09,14.99472
1892-10,14.136627
1892-11,13.012909
1892-12,12.326874
1893-01,11.964294
1893-02,12.30069
1893-03,12.934692
1893-04,13.748718
1893-05,14.6770935
1893-06,15.485504
1893-07,15.810791
1893-08,15.594513
1893-09,14.895111
1893-10,13.961182
1893-11,12.982849
1893-12,12.3211975
1894-01,12.103821
1894-02,12.120209
1894-03,12.900574
1894-04,13.848663
1894-05,14.627319
1894-06,15.3307495
1894-07,15.7276
1894-08,15.562103
1894-09,15.151733
1894-10,14.181488
1894-11,13.253784
1894-12,12.444855
1895-01,12.266937
1895-02,12.613098
1895-03,13.349152
1895-04,14.075897
1895-05,14.853119
1895-06,15.5946045
1895-07,15.841217
1895-08,15.695099
1895-09,15.016724
1895-10,14.180878
1895-11,13.124634
1895-12,12.495392
1896-01,12.108154
1896-02,12.4305725
1896-03,13.043793
1896-04,13.870026
1896-05,14.766541
1896-06,15.5121765
1896-07,15.779358
1896-08,15.642029
1896-09,14.925934
1896-10,13.878021
1896-11,12.934723
1896-12,12.391418
1897-01,11.897736
1897-02,12.023132
1897-03,12.799591
1897-04,13.739471
1897-05,14.619354
1897-06,15.354004
1897-07,15.580658
1897-08,15.5590515
1897-09,14.999207
1897-10,14.070801
1897-11,13.067139
1897-12,12.124817
1898-01,12.046539
1898-02,12.316528
1898-03,12.892792
1898-04,13.771484
1898-05,14.674133
1898-06,15.355164
1898-07,15.621246
1898-08,15.578583
1898-09,14.858246
1898-10,13.960724
1898-11,12.905548
1898-12,12.278412
1899-01,12.017426
1899-02,12.297211
1899-03,13.16394
1899-04,13.946564
1899-05,14.8663025
1899-06,15.462097
1899-07,15.704376
1899-08,15.57016
1899-09,14.906891
1899-10,13.987183
1899-11,12.891663
1899-12,12.02652
1900-01,11.730316
1900-02,11.930328
1900-03,12.819702
1900-04,13.645508
1900-05,14.589691
1900-06,15.280945
1900-07,15.644043
1900-08,15.489136
1900-09,14.939606
1900-10,14.261078
1900-11,13.045105
1900-12,12.235138
1901-01,12.003357
1901-02,12.274231
1901-03,12.934998
1901-04,13.902832
1901-05,14.8828125
1901-06,15.444794
1901-07,15.717102
1901-08,15.6371155
1901-09,14.836029
1901-10,14.053955
1901-11,12.91629
1901-12,12.249512
1902-01,12.042633
1902-02,12.442261
1902-03,13.01532
1902-04,13.804169
1902-05,14.61496
1902-06,15.219849
1902-07,15.684814
1902-08,15.462769
1902-09,14.937988
1902-10,14.0269165
1902-11,13.118561
1902-12,12.305542
1903-01,11.867218
1903-02,12.241028
1903-03,12.973419
1903-04,13.848175
1903-05,14.702393
1903-06,15.240723
1903-07,15.539612
1903-08,15.456299
1903-09,14.748932
1903-10,13.922333
1903-11,12.797913
1903-12,12.127228
1904-01,11.950104
1904-02,12.231506
1904-03,12.695099
1904-04,13.620911
1904-05,14.576691
1904-06,15.196838
1904-07,15.451141
1904-08,15.407806
1904-09,14.757721
1904-10,13.880676
1904-11,13.026276
1904-12,12.251953
1905-01,12.130646
1905-02,12.299652
1905-03,13.079163
1905-04,13.99881
1905-05,14.779846
1905-06,15.30722
1905-07,15.65097
1905-08,15.499847
1905-09,14.930664
1905-10,13.945007
1905-11,12.823639
1905-12,12.128357
1906-01,11.713959
1906-02,12.266815
1906-03,12.844086
1906-04,13.758453
1906-05,14.671631
1906-06,15.343597
1906-07,15.696564
1906-08,15.637634
1906-09,14.916077
1906-10,13.948181
1906-11,13.169067
1906-12,12.261963
1907-01,12.25824
1907-02,12.366943
1907-03,13.10495
1907-04,13.933502
1907-05,14.867218
1907-06,15.436066
1907-07,15.626404
1907-08,15.57431
1907-09,14.753296
1907-10,14.130829
1907-11,13.073273
1907-12,12.210327
1908-01,11.930481
1908-02,12.164642
1908-03,12.997467
1908-04,13.864532
1908-05,14.716736
1908-06,15.411896
1908-07,15.777344
1908-08,15.683624
1908-09,14.943024
1908-10,13.924072
1908-11,12.946259
1908-12,12.19928
1909-01,11.836121
1909-02,12.180908
1909-03,13.0448
1909-04,13.983337
1909-05,14.75473
1909-06,15.357941
1909-07,15.73233
1909-08,15.657349
1909-09,14.972931
1909-10,14.025391
1909-11,12.966034
1909-12,12.225952
1910-01,11.964172
1910-02,12.240234
1910-03,12.879669
1910-04,13.926392
1910-05,14.623749
1910-06,15.309143
1910-07,15.689636
1910-08,15.534027
1910-09,14.856415
1910-10,13.933716
1910-11,13.04007
1910-12,12.208832
1911-01,12.238586
1911-02,12.502289
1911-03,13.281067
1911-04,14.028015
1911-05,14.791931
1911-06,15.445221
1911-07,15.817871
1911-08,15.673309
1911-09,15.157074
1911-10,14.236969
1911-11,13.172119
1911-12,12.571655
1912-01,12.515411
1912-02,12.561401
1912-03,13.308899
1912-04,14.195465
1912-05,14.973541
1912-06,15.50177
1912-07,15.644165
1912-08,15.421783
1912-09,14.699005
1912-10,13.789429
1912-11,12.832306
1912-12,12.102081
1913-01,11.765076
1913-02,11.89566
1913-03,12.631561
1913-04,13.653168
1913-05,14.596863
1913-06,15.15625
1913-07,15.58197
1913-08,15.460907
1913-09,14.859009
1913-10,14.039307
1913-11,12.987671
1913-12,12.30658
1914-01,11.993713
1914-02,12.522491
1914-03,13.028748
1914-04,13.811005
1914-05,14.750641
1914-06,15.378845
1914-07,15.779205
1914-08,15.511322
1914-09,14.785706
1914-10,13.79364
1914-11,12.975433
1914-12,12.139252
1915-01,11.701843
1915-02,12.021362
1915-03,12.795074
1915-04,13.82605
1915-05,14.614075
1915-06,15.258759
1915-07,15.62616
1915-08,15.663208
1915-09,14.946106
1915-10,14.167206
1915-11,13.036377
1915-12,12.179321
1916-01,11.875946
1916-02,12.257446
1916-03,13.004395
1916-04,13.953186
1916-05,14.895508
1916-06,15.348816
1916-07,15.792023
1916-08,15.69104
1916-09,14.9823
1916-10,14.065277
1916-11,13.007568
1916-12,12.278595
1917-01,12.234222
1917-02,12.501373
1917-03,12.884186
1917-04,14.029327
1917-05,14.85141
1917-06,15.516174
1917-07,15.681366
1917-08,15.546661
1917-09,14.828033
1917-10,13.9201355
1917-11,12.910187
1917-12,12.161682
1918-01,11.920013
1918-02,12.046051
1918-03,12.766571
1918-04,13.639252
1918-05,14.599762
1918-06,15.283539
1918-07,15.8637085
1918-08,15.673889
1918-09,15.044281
1918-10,14.075012
1918-11,13.118591
