#Dataset: Global monthly mean temperatures
#Reference: NA
#Project: CMIP6
#Experiment: ssp585
#Model: ACCESS-CM2_r4i1p1f1
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: global
#Area: land and sea
#Spatial_resolution: as per source model
#Interpolation_method: weighted mean, weights defined by model variable areacella
#Creation_Date: 2023-09-29 06:06 UTC
date,world
2015-01,13.32251
2015-02,13.44519
2015-03,14.005371
2015-04,14.787384
2015-05,15.776581
2015-06,16.404175
2015-07,16.86026
2015-08,16.656586
2015-09,15.897705
2015-10,15.124542
2015-11,14.240234
2015-12,13.434906
2016-01,13.101776
2016-02,13.374054
2016-03,13.8923645
2016-04,14.777374
2016-05,15.466675
2016-06,16.284943
2016-07,16.809845
2016-08,16.532135
2016-09,16.026123
2016-10,15.127075
2016-11,14.054535
2016-12,13.399719
2017-01,13.292175
2017-02,13.341095
2017-03,14.058258
2017-04,14.813599
2017-05,15.775787
2017-06,16.306
2017-07,16.867554
2017-08,16.756622
2017-09,16.080902
2017-10,15.324585
2017-11,14.357025
2017-12,13.706543
2018-01,13.339844
2018-02,13.580109
2018-03,14.275513
2018-04,15.194733
2018-05,15.900665
2018-06,16.516327
2018-07,16.998505
2018-08,16.824097
2018-09,16.087097
2018-10,15.368591
2018-11,14.406677
2018-12,13.487549
2019-01,13.272095
2019-02,13.4131775
2019-03,14.014282
2019-04,14.922913
2019-05,15.7612915
2019-06,16.549011
2019-07,16.822876
2019-08,16.717102
2019-09,16.110931
2019-10,15.44812
2019-11,14.38913
2019-12,13.672394
2020-01,13.354767
2020-02,13.5772705
2020-03,14.142242
2020-04,15.001678
2020-05,16.022064
2020-06,16.602142
2020-07,16.900665
2020-08,16.790771
2020-09,16.139984
2020-10,15.141296
2020-11,14.220795
2020-12,13.316864
2021-01,13.194763
2021-02,13.444458
2021-03,14.07901
2021-04,14.894318
2021-05,15.828461
2021-06,16.484436
2021-07,17.064392
2021-08,16.996582
2021-09,16.405823
2021-10,15.623901
2021-11,14.708496
2021-12,13.85257
2022-01,13.632172
2022-02,13.914703
2022-03,14.775665
2022-04,15.315613
2022-05,16.184906
2022-06,16.845825
2022-07,17.302368
2022-08,17.112762
2022-09,16.408844
2022-10,15.47464
2022-11,14.48822
2022-12,13.6094055
2023-01,13.3611145
2023-02,13.463226
2023-03,13.91684
2023-04,14.829529
2023-05,15.860992
2023-06,16.631714
2023-07,16.954285
2023-08,16.959595
2023-09,16.333618
2023-10,15.5271
2023-11,14.462555
2023-12,13.760345
2024-01,13.368439
2024-02,13.750427
2024-03,14.439758
2024-04,15.215729
2024-05,15.9835205
2024-06,16.655243
2024-07,17.172638
2024-08,17.09021
2024-09,16.353851
2024-10,15.49173
2024-11,14.586884
2024-12,13.77124
2025-01,13.597321
2025-02,13.811127
2025-03,14.316742
2025-04,15.1719055
2025-05,16.00885
2025-06,16.693298
2025-07,17.13443
2025-08,17.06894
2025-09,16.265045
2025-10,15.380737
2025-11,14.502655
2025-12,13.653137
2026-01,13.711792
2026-02,13.623932
2026-03,14.249054
2026-04,15.115723
2026-05,16.095856
2026-06,16.756165
2026-07,17.305878
2026-08,17.061829
2026-09,16.533081
2026-10,15.843536
2026-11,14.810059
2026-12,13.964111
2027-01,13.802307
2027-02,14.029877
2027-03,14.44281
2027-04,15.303162
2027-05,16.297272
2027-06,17.119965
2027-07,17.43039
2027-08,17.141876
2027-09,16.569794
2027-10,15.819763
2027-11,14.846588
2027-12,13.933624
2028-01,13.81192
2028-02,13.824951
2028-03,14.3341675
2028-04,15.396118
2028-05,16.132935
2028-06,17.006561
2028-07,17.457184
2028-08,17.287811
2028-09,16.60437
2028-10,15.858246
2028-11,14.943207
2028-12,14.32608
2029-01,13.937744
2029-02,13.9531555
2029-03,14.618866
