#Dataset: Global monthly mean temperatures
#Reference: NA
#Project: CMIP6
#Experiment: ssp585
#Model: CMCC-ESM2_r1i1p1f1
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: global
#Area: land and sea
#Spatial_resolution: as per source model
#Interpolation_method: weighted mean, weights defined by model variable areacella
#Creation_Date: 2023-09-29 06:06 UTC
date,world
2015-01,13.186676
2015-02,13.223541
2015-03,13.884888
2015-04,14.782776
2015-05,15.607513
2015-06,16.302063
2015-07,16.51004
2015-08,16.391266
2015-09,15.776093
2015-10,15.053253
2015-11,14.132996
2015-12,13.585297
2016-01,13.168213
2016-02,13.505859
2016-03,13.847687
2016-04,14.853027
2016-05,15.699585
2016-06,16.494598
2016-07,16.708466
2016-08,16.614502
2016-09,15.935272
2016-10,15.241119
2016-11,14.467377
2016-12,13.653168
2017-01,13.303528
2017-02,13.253571
2017-03,13.852203
2017-04,14.949402
2017-05,15.89801
2017-06,16.582306
2017-07,16.835297
2017-08,16.718231
2017-09,16.060303
2017-10,15.434418
2017-11,14.472412
2017-12,13.951813
2018-01,13.884247
2018-02,13.660736
2018-03,14.212097
2018-04,15.217102
2018-05,16.096252
2018-06,16.783783
2018-07,17.184631
2018-08,16.800812
2018-09,16.15567
2018-10,15.407013
2018-11,14.643097
2018-12,14.205536
2019-01,13.917664
2019-02,13.850769
2019-03,14.370239
2019-04,15.371857
2019-05,16.283691
2019-06,16.895721
2019-07,17.174438
2019-08,16.840332
2019-09,16.061676
2019-10,15.308624
2019-11,14.355225
2019-12,13.97406
2020-01,13.49527
2020-02,13.164703
2020-03,14.074402
2020-04,15.075256
2020-05,15.611023
2020-06,16.290436
2020-07,16.532959
2020-08,16.295837
2020-09,15.644806
2020-10,14.953583
2020-11,14.058777
2020-12,13.223877
2021-01,12.989624
2021-02,12.944092
2021-03,13.679962
2021-04,14.6586
2021-05,15.638214
2021-06,16.373413
2021-07,16.637207
2021-08,16.406067
2021-09,15.780609
2021-10,14.971893
2021-11,14.375549
2021-12,13.706848
2022-01,13.121674
2022-02,13.286041
2022-03,13.762054
2022-04,14.912506
2022-05,15.874054
2022-06,16.611206
2022-07,16.850769
2022-08,16.745667
2022-09,16.134735
2022-10,15.334961
2022-11,14.45816
2022-12,13.658142
2023-01,13.3591
2023-02,13.289978
2023-03,13.941559
2023-04,14.879578
2023-05,15.950653
2023-06,16.647583
2023-07,17.050323
2023-08,16.757538
2023-09,16.141205
2023-10,15.307556
2023-11,14.615936
2023-12,14.053619
2024-01,13.670288
2024-02,13.544281
2024-03,14.185974
2024-04,15.189575
2024-05,16.106415
2024-06,16.692291
2024-07,16.95288
2024-08,16.724487
2024-09,15.902618
2024-10,15.284729
2024-11,14.405884
2024-12,13.946838
2025-01,13.435669
2025-02,13.501404
2025-03,14.189636
2025-04,15.045471
2025-05,15.960266
2025-06,16.696442
2025-07,16.972229
2025-08,16.745453
2025-09,16.007294
2025-10,15.32663
2025-11,14.435211
2025-12,13.718628
2026-01,13.374451
2026-02,13.503387
2026-03,14.101959
2026-04,15.178131
2026-05,15.951202
2026-06,16.787537
2026-07,16.985382
2026-08,16.778046
2026-09,16.139008
2026-10,15.366669
2026-11,14.727966
2026-12,14.12735
2027-01,13.553894
2027-02,13.864807
2027-03,14.308502
2027-04,15.308228
2027-05,16.163147
2027-06,16.961304
2027-07,17.231903
2027-08,17.036865
2027-09,16.45462
2027-10,15.699097
2027-11,14.827362
2027-12,14.305634
2028-01,13.922333
2028-02,14.159088
2028-03,14.67395
2028-04,15.491608
2028-05,16.463135
2028-06,17.13388
2028-07,17.364655
2028-08,17.111694
2028-09,16.483856
2028-10,15.703064
2028-11,14.819946
2028-12,14.050354
2029-01,13.762268
2029-02,14.059082
2029-03,14.533112
2029-04,15.4021
2029-05,16.280334
2029-06,16.827179
2029-07,17.231934
2029-08,16.954102
2029-09,16.301392
2029-10,15.595428
2029-11,14.797668
2029-12,14.172546
2030-01,13.7404175
2030-02,13.911591
2030-03,14.301331
2030-04,15.381226
2030-05,16.240112
2030-06,16.723816
2030-07,17.025055
2030-08,16.900146
2030-09,16.245697
2030-10,15.581909
2030-11,14.919373
2030-12,14.137634
2031-01,13.826111
2031-02,13.92395
2031-03,14.272949
2031-04,15.277649
2031-05,16.373352
2031-06,17.150482
2031-07,17.400543
2031-08,17.13263
2031-09,16.50293
2031-10,15.830811
2031-11,15.128021
2031-12,14.392761
2032-01,14.155273
2032-02,14.145752
2032-03,14.679016
2032-04,15.723663
2032-05,16.54364
2032-06,17.226898
2032-07,17.571991
2032-08,17.272919
2032-09,16.53946
2032-10,15.671936
2032-11,15.117371
2032-12,14.499603
2033-01,14.045502
2033-02,13.860382
2033-03,14.509094
2033-04,15.677704
2033-05,16.391449
2033-06,17.043182
2033-07,17.201385
2033-08,17.117096
2033-09,16.430481
2033-10,15.641052
2033-11,14.780151
2033-12,14.261688
2034-01,13.540558
2034-02,13.81485
2034-03,14.18692
2034-04,15.362793
2034-05,16.31073
2034-06,16.883362
2034-07,17.230103
2034-08,17.033905
2034-09,16.479156
2034-10,15.682892
2034-11,14.959015
2034-12,14.467407
2035-01,14.058929
2035-02,14.047028
2035-03,14.594574
2035-04,15.630005
2035-05,16.343384
2035-06,17.12967
2035-07,17.44754
2035-08,17.315155
2035-09,16.68576
2035-10,15.900085
2035-11,15.085968
2035-12,14.562744
2036-01,14.045746
2036-02,14.220123
2036-03,14.93927
2036-04,15.855286
2036-05,16.676971
2036-06,17.301605
2036-07,17.650482
2036-08,17.388214
2036-09,16.744293
2036-10,16.02948
2036-11,15.181641
2036-12,14.572388
2037-01,14.419739
2037-02,14.178284
2037-03,14.923279
2037-04,15.751434
2037-05,16.633698
2037-06,17.326416
2037-07,17.694977
2037-08,17.490997
2037-09,16.665253
2037-10,15.861053
2037-11,15.145294
2037-12,14.598419
2038-01,14.128967
2038-02,14.322571
2038-03,14.717682
2038-04,15.79303
2038-05,16.702393
2038-06,17.400665
2038-07,17.695953
2038-08,17.468079
2038-09,16.85791
2038-10,15.954315
2038-11,15.130798
2038-12,14.726196
2039-01,14.441772
2039-02,14.493164
2039-03,14.90332
2039-04,15.705109
2039-05,16.585205
2039-06,17.423706
2039-07,17.79245
2039-08,17.561218
2039-09,16.97171
2039-10,16.186707
2039-11,15.514801
2039-12,14.936554
2040-01,14.591095
2040-02,14.727753
2040-03,15.382202
2040-04,16.225952
2040-05,16.696136
2040-06,17.455719
2040-07,17.79245
2040-08,17.49588
2040-09,16.853851
2040-10,16.119598
2040-11,15.324585
2040-12,14.879974
2041-01,14.596313
2041-02,14.522522
2041-03,14.831726
2041-04,15.763855
2041-05,16.602295
2041-06,17.296478
2041-07,17.588715
2041-08,17.296753
2041-09,16.639496
2041-10,15.862915
2041-11,14.9340515
2041-12,14.363892
2042-01,14.143463
2042-02,14.105133
2042-03,14.65152
2042-04,15.558533
2042-05,16.589905
2042-06,17.198883
2042-07,17.336395
2042-08,17.252075
2042-09,16.631073
2042-10,15.872742
2042-11,15.161194
2042-12,14.518799
2043-01,14.105133
2043-02,14.230286
2043-03,14.821259
2043-04,15.942169
2043-05,16.74533
2043-06,17.410156
2043-07,17.75357
2043-08,17.633759
2043-09,16.924286
2043-10,16.148102
2043-11,15.408661
2043-12,14.821716
2044-01,14.440247
2044-02,14.896149
2044-03,15.183502
2044-04,16.253754
2044-05,16.906647
2044-06,17.720001
2044-07,18.085388
2044-08,17.980164
2044-09,17.214508
2044-10,16.535217
2044-11,15.676788
2044-12,15.237335
2045-01,15.017883
2045-02,14.811737
2045-03,15.360687
2045-04,16.278778
2045-05,17.118988
2045-06,17.910553
2045-07,18.194397
2045-08,18.062378
2045-09,17.300476
2045-10,16.51056
2045-11,15.640198
2045-12,15.124176
2046-01,14.461182
2046-02,14.652893
2046-03,15.314728
2046-04,16.367737
2046-05,17.182037
2046-06,17.768372
